Дата,Клики,Охват,Показы,Бюджет,Заявки,Кампания,Группа объявлений
2024-06-18,18,747,798,"5,1",3,SLO,Unknown
2024-06-19,15,816,878,"4,88",1,SLO,Unknown
2024-06-20,10,937,983,"5,02",1,SLO,Unknown
2024-06-21,12,630,643,"3,29",0,SLO,Unknown
2024-06-22,17,650,670,"2,75",1,SLO,Unknown
2024-06-23,14,669,697,"2,99",1,SLO,Unknown
2024-06-24,16,700,731,"3,08",1,SLO,Unknown
2024-06-25,12,740,779,"3,08",2,SLO,Unknown
2024-06-26,12,1144,1211,"4,72",0,SLO,Unknown
2024-06-27,17,1248,1326,"5,83",1,SLO,Unknown
2024-06-28,12,1240,1313,"5,86",2,SLO,Unknown
2024-06-29,21,1266,1328,"5,72",2,SLO,Unknown
2024-06-30,21,1406,1478,"6,1",2,SLO,Unknown
2024-07-01,8,1199,1304,"6,1",0,SLO,Unknown
2024-07-02,14,1209,1313,"6,16",1,SLO,Unknown
2024-07-03,19,1116,1178,"5,85",3,SLO,Unknown
2024-07-04,7,839,867,"4,65",1,SLO,Unknown
2024-07-05,13,1576,1640,"7,63",0,SLO,Unknown
2024-07-06,18,1231,1324,"7,62",4,SLO,Unknown
2024-07-07,20,1261,1374,"7,18",0,SLO,Unknown
2024-07-08,35,1378,1506,"7,13",1,SLO,Unknown
2024-07-09,16,1463,1625,"7,31",3,SLO,Unknown
2024-07-10,15,1343,1507,"6,88",0,SLO,Unknown
2024-07-11,12,1314,1414,"6,98",2,SLO,Unknown
2024-07-12,13,1169,1236,"6,7",0,SLO,Unknown
2024-07-13,21,1422,1523,"6,78",2,SLO,Unknown
2024-07-14,26,1705,1851,"7,1",2,SLO,Unknown
2024-07-15,27,1693,1853,"7,33",1,SLO,Unknown
2024-07-16,18,1583,1729,"7,06",2,SLO,Unknown
2024-07-17,28,1208,1296,"5,67",2,SLO,Unknown

# Last updated: 2024-09-05T10:51:07.958726
